PlotID,Replicate,Row,Column,GenotypeID,DaysToPollen,LeafAreaIndex,LeafLengthCM,LeafWidthCM,PlantHeightCM,ExtantLeafNumber1,NodesWithBraceRoots,ExtantLeafNumber2,year2020,year2021,year2022,year2020_1
2727,2,56,27,B66,72,2.89,78,9.9,189.5,14,2,15,1,0,0,0
1024,1,1,24,B68,76,4.5,92.5,6.45,205,14,1,15.33,1,0,0,1
2504,2,48,28,B68,76,4.1,93,6.75,204,14.5,1,16,1,0,0,0
1716,1,26,16,B7,77,3.41,84.5,9.05,191,14,1,14.67,1,0,0,1
2051,2,32,23,B7,77,3.35,84,8.95,195,13.5,1,15,1,0,0,0
1040,1,2,12,B73,75,4.21,84,8.45,205.5,13.5,1.67,16,1,0,0,1
2294,2,41,14,B73,76,3.7,77.5,8.55,196.5,14.5,3,16.33,1,0,0,0
1657,1,24,13,B73Htrhm,77,3.66,83.5,7.95,202,14.5,2.33,16,1,0,0,1
2263,2,40,11,B73Htrhm,75,3.12,74.75,8.55,192,14.5,2.17,16,1,0,0,0
1619,1,23,3,B75,71,4.09,78,10.05,186.5,12.5,2.67,13.67,1,0,0,1
2206,2,38,10,B75,72,4.69,77.5,7.1,178,13,2.33,14.33,1,0,0,0
1324,1,12,16,B76,72,4.77,67.75,9.35,177.5,13,2.33,14,1,0,0,1
2418,2,45,26,B76,72,4.12,71.75,9.1,175,11.5,1.33,13.33,1,0,0,0
1242,1,9,18,B77,75,5.25,85.5,8.7,204.5,15.5,1,14,1,0,0,1
2475,2,47,27,B77,75,3.86,83,8.5,198.5,14.5,1.33,17.67,1,0,0,0
1461,1,17,13,B79,75,,76,8.5,149,13.5,2.33,15.33,1,0,0,1
2674,2,55,2,B79,75,4.04,78.5,8.1,167.5,14.5,1.33,16,1,0,0,0
1262,1,10,10,B8,66,3.26,70.25,7.5,185.5,12,1,14.67,1,0,0,1
2324,2,42,16,B8,71,2.22,71,7.45,183.5,13,1,14.67,1,0,0,0
1654,1,24,10,B84,76,3.24,89.5,6.8,185,13.5,1.33,14.67,1,0,0,1
2402,2,45,10,B84,76,2.68,80.5,7.15,175,13,1.33,14.67,1,0,0,0
1009,1,1,9,B85,69,3.12,81.5,9,190,10,2,12,1,0,0,1
2734,2,57,6,B85,70,2.72,77.5,8.5,172,10,1,13,1,0,0,0
1268,1,10,16,B87,71,4.4,74,8.3,171.5,11,1,13.33,1,0,0,1
2373,2,44,9,B87,71,4.07,75.75,7.7,166.5,11,1,14,1,0,0,0
1807,1,29,23,B88,77,3.61,74,8.05,185.5,15,1.67,14.33,1,0,0,1
2217,2,38,21,B88,79,4.71,76.75,9.35,178.5,15.5,2,14.33,1,0,0,0
1625,1,23,9,B90,73,3.98,74.5,9.15,199.5,13.5,1,15,1,0,0,1
2573,2,51,13,B90,74,2.88,70.5,8.6,188,12.5,1.67,14,1,0,0,0
1656,1,24,12,B91,76,3.93,60.5,8.55,169,13,2,15,1,0,0,1
2720,2,56,20,B91,73,3.45,68.5,9,183.5,13.5,2,16,1,0,0,0
1001,1,1,1,B97,72,3.48,70.5,9.75,202,12.5,2,16,1,0,0,1
1010,1,1,10,B97,72,3.73,66.95,11.55,187,13,1.67,16,1,0,0,1
1012,1,1,12,B97,73,3.96,72,9.75,194,12.5,1,11.67,1,0,0,1
1015,1,1,15,B97,71,4.73,74,9.85,194.5,12,1.33,15.33,1,0,0,1
1018,1,1,18,B97,73,3.95,72.25,8.55,190,8.5,2,15,1,0,0,1
1046,1,2,18,B97,72,,73.5,9.75,185,11.5,1.67,12.33,1,0,0,1
1065,1,3,9,B97,71,3.35,77,9.8,181,12.5,1.33,15.67,1,0,0,1
1067,1,3,11,B97,71,3.81,70.75,10.1,186.5,12,1.33,15.33,1,0,0,1
1075,1,3,19,B97,71,,76.25,9.3,195,12,1.33,15.33,1,0,0,1
1102,1,4,18,B97,73,3.06,73,10.25,195,12,2,14.33,1,0,0,1
1103,1,4,19,B97,71,4,71.5,10.75,183,12,2,14.33,1,0,0,1
1107,1,4,23,B97,71,3.16,70,9.6,185.5,12,1.67,14.33,1,0,0,1
1117,1,5,5,B97,71,3.74,82,9.05,183.5,13,1.67,14.33,1,0,0,1
1120,1,5,8,B97,71,,76,9.7,173.5,12,2,15,1,0,0,1
1126,1,5,14,B97,72,3.72,70.75,10.55,182,12.5,1.67,14.33,1,0,0,1
1153,1,6,13,B97,71,,70,9.65,173.5,11.5,2,15.67,1,0,0,1
1160,1,6,20,B97,73,,66.25,10.05,179,12,2,16,1,0,0,1
1164,1,6,24,B97,71,3.49,,,167.5,11,2.33,15,1,0,0,1
1176,1,7,8,B97,71,2.8,68,9.8,164,11.5,2,14.33,1,0,0,1
1180,1,7,12,B97,71,3.6,71.5,10.3,181,11,1.67,15,1,0,0,1
1186,1,7,18,B97,71,3.63,78.5,9.75,177.5,11.5,2,14.67,1,0,0,1
1198,1,8,2,B97,71,,67.75,9.6,165,12,2.33,13.67,1,0,0,1
1201,1,8,5,B97,71,,73.25,10.9,164,11.5,2.33,13.67,1,0,0,1
1216,1,8,20,B97,71,,70.25,9.7,176.5,12,2,15,1,0,0,1
1218,1,8,22,B97,71,,76.25,10.25,171,12,2,13.67,1,0,0,1
1235,1,9,11,B97,71,3.3,71.25,9.8,,11.5,2.67,14.33,1,0,0,1
1237,1,9,13,B97,71,3.37,69,10.2,176,12,1.33,13,1,0,0,1
1257,1,10,5,B97,71,,68.5,9.3,,12,2.33,15,1,0,0,1
1270,1,10,18,B97,72,3.73,71.25,10.25,179,12,2.33,14,1,0,0,1
1283,1,11,3,B97,71,,72.5,10,170.5,11.5,2.67,16,1,0,0,1
1285,1,11,5,B97,72,,66.5,9.7,175,12.5,3,13.33,1,0,0,1
1292,1,11,12,B97,72,2.66,68,9.25,156,12,2.33,14,1,0,0,1
1307,1,11,27,B97,75,4.22,67.25,9.55,,12,2.67,14.33,1,0,0,1
1309,1,12,1,B97,72,3.61,66.25,9.3,187.5,13,2.33,14.67,1,0,0,1
1318,1,12,10,B97,71,,65.5,10.55,162.5,11.5,2.67,14.33,1,0,0,1
1325,1,12,17,B97,75,3.93,66,10,176.5,12.5,3,15,1,0,0,1
1326,1,12,18,B97,75,4.02,66,10.25,177.5,12.5,2.33,14.67,1,0,0,1
1340,1,13,4,B97,75,2.51,72.75,10.5,185,13,1.33,13.33,1,0,0,1
1357,1,13,21,B97,73,4.31,67,10.05,175,12.5,0.67,14,1,0,0,1
1361,1,13,25,B97,77,3.54,86.5,10.4,190,13,2,15,1,0,0,1
1381,1,14,17,B97,73,3.66,71.25,10.75,180,12.5,2.67,13.67,1,0,0,1
1410,1,15,18,B97,75,3.66,69.5,10.1,181,13,3.33,14.67,1,0,0,1
1413,1,15,21,B97,75,3.88,68,10.75,171.5,13.5,2.67,14.67,1,0,0,1
1415,1,15,23,B97,73,3.7,71,9.85,196,13,2,14.67,1,0,0,1
1416,1,15,24,B97,77,4.58,78.5,10.35,160,11,2.33,14.33,1,0,0,1
1427,1,16,7,B97,73,4.57,66.5,9.05,168.5,12.5,1,14.33,1,0,0,1
1439,1,16,19,B97,73,3.5,70,9.75,181,12,2,11.67,1,0,0,1
1449,1,16,1,B97,72,3.25,67,9.9,168.5,12,2.67,14,1,0,0,1
1470,1,17,22,B97,72,3.25,63.25,9.75,173.5,13,2.67,14.33,1,0,0,1
1472,1,17,24,B97,78,3.86,76.25,10.25,170.5,12,2.33,14,1,0,0,1
1491,1,18,15,B97,72,3.94,68.5,10.25,179,13,3,14,1,0,0,1
